page,gamertag,name,team,twitch,twitter,update_time
31,Madsyy,Madison Stone,The Chiefs,"",madsystone,2021-12-30T16:40:56Z
19,Majin Bones,Majin Bones,None,"","",2021-12-30T16:40:56Z
9,Manny HCS,Manny,None,"",MannyHCS,2021-12-30T16:40:56Z
1,Marbs,Marbs,None,"","",2021-12-30T16:40:56Z
24,Mejiii,Mejiii,None,"","",2021-12-30T16:40:56Z
2,Mikwen,Austin Mikwen,None,imikwen,Mikwen_nV,2021-12-30T16:40:56Z
8,MOCKIT Outkast,Steven Graham,None,"",eu_outkast,2021-12-30T16:40:56Z
28,MOCKIT WarLord,Stuart Graham,Mock-it Esports,WxrLord,xL_WarLord,2021-12-30T16:40:56Z
8,Momentuum,Adam,None,momentuum,Momentuum_,2021-12-30T16:40:56Z
10,MoNnsTcR,Chance Duncan,None,"",MoNsTcR,2021-12-30T16:40:56Z
23,Monstehs,Monstehs,None,"","",2021-12-30T16:40:56Z
26,Monza,Monza,None,"","",2021-12-30T16:40:56Z
3,Morguhhh,Morgan,The Boys,morguhhh,Morguhhh,2021-12-30T16:40:56Z
18,Mqrine,Mqrine,None,"","",2021-12-30T16:40:56Z
29,Mr Soul Snipe,Mikey,KC Pioneers,"",MG_SoulSnipe,2021-12-30T16:40:56Z
5,Munoz,Gilbert Munoz,None,munoz,eLevateMunoz,2021-12-30T16:40:56Z
1,Musa eH,Douglas,None,musa_eh,DMusa_,2021-12-30T16:40:56Z
20,Mynx,Mynx,None,"","",2021-12-30T16:40:56Z
30,N U R l X,NURIXzeh,Quadrant,nurixzer,Zehzehhhh,2021-12-30T16:40:56Z
26,N00Y,N00Y,None,"","",2021-12-30T16:40:56Z
23,Nebulosy,Nebulosy,None,"","",2021-12-30T16:40:56Z
3,Nebuula,Travis McCloud,None,NeBy,Nebuula,2021-12-30T16:40:56Z
16,nejiuciha94,nejiuciha94,None,"","",2021-12-30T16:40:56Z
13,Neuronical,Danimals,None,"",Danimals,2021-12-30T16:40:56Z
15,NeX Shield,NeX Shield,None,"","",2021-12-30T16:40:56Z
15,NEX ToniK,NEX ToniK,None,"","",2021-12-30T16:40:56Z
18,NICK VEGAS,NICK VEGAS,None,"","",2021-12-30T16:40:56Z
20,Nikclai,Nikclai,None,"","",2021-12-30T16:40:56Z
26,Ninjestics,Ninjestics,None,"","",2021-12-30T16:40:56Z
17,NinzurR,NinzurR,None,"",NinzurR,2021-12-30T16:40:56Z
22,Nirodhar,Nirodhar,None,"","",2021-12-30T16:40:56Z
23,Nitemare,Nitemare,None,"","",2021-12-30T16:40:56Z
2,NNeptuunE,Neptune,None,NNeptuunE,NNeptuunE,2021-12-30T16:40:56Z
11,Noblc,UI Noble,None,"",ANoblc,2021-12-30T16:40:56Z
24,Noisas,Noisas,None,"","",2021-12-30T16:40:56Z
16,Novalkpote,Novalkpote,None,"","",2021-12-30T16:40:56Z
15,NQISY,NQISY,None,"",NQISY,2021-12-30T16:40:56Z
21,NQOBY,Alexandre,None,"","",2021-12-30T16:40:56Z
20,NsG Cereal,NsG Cereal,None,"","",2021-12-30T16:40:56Z
20,nwk,nwk,None,"","",2021-12-30T16:40:56Z
0,OMallzie,Nick Mallzie,None,"",OMallzie,2021-12-30T16:40:56Z
26,OmegA is Better,Yousef,None,OmegaBC,OmegA_CoL,2021-12-30T16:40:56Z
14,OneTrueFlash,OneTrueFlash,None,"","",2021-12-30T16:40:56Z
29,opticformalmatt,Matthew Piper,Spacestation Gaming,formal,FormaL,2021-12-30T16:40:56Z
26,OsP Weezy,OsP Weezy,None,"","",2021-12-30T16:40:56Z
18,Outkqst,Outkqst,None,"","",2021-12-30T16:40:56Z
3,P TiZyPe ZM,Ezekiel Martinez,None,Prototype,PrototypeMEM,2021-12-30T16:40:56Z
15,P3rmission,P3rmission,None,"",P3rmission,2021-12-30T16:40:56Z
24,PackMandela,Pack Mandela,None,"","",2021-12-30T16:40:56Z
21,Pandoras a Wolf,Pandoras a Wolf,None,"",Forever_Pandora,2021-12-30T16:40:56Z
22,Pappa Chilbo,Pappa Chilbo,None,PappaChilbo,"",2021-12-30T16:40:56Z
12,PeluGott,PG Pelu,None,"","",2021-12-30T16:40:56Z
31,Phluxs,Hamzah Nackvi,Bing Chilling,phluxuate,Phluxr,2021-12-30T16:40:56Z
21,pi3derf,pi3derf,None,"","",2021-12-30T16:40:56Z
1,PiLEZ,Pilez,None,"",PiLEZ_,2021-12-30T16:40:56Z
14,PinguinCore,PinguinCore,None,"","",2021-12-30T16:40:56Z
11,Pipz,Pip,The Chiefs,"",PIProns,2021-12-30T16:40:56Z
28,PK iDrift,Irving Moya,Pittsburgh Knights,stwdrift,IrvingMoya11,2021-12-30T16:40:56Z
30,Porky J,Goober,XSET,PorkyJ,PorkyJJ,2021-12-30T16:40:56Z
31,Praties,Adam Osborne,The Chiefs,Praties,prat1es,2021-12-30T16:40:56Z
1,PreDevoNatoR,Devon Layton,None,"",AvPred,2021-12-30T16:40:56Z
17,Procisionite,Procisionite,None,"","",2021-12-30T16:40:56Z
1,Psylince,Jake Rhodes,None,"",ImP_Psylince,2021-12-30T16:40:56Z
16,PUMA1323,PUMA1323,None,"","",2021-12-30T16:40:56Z
27,Pznguin,Zane Hearon,Cloud 9,"",Pznguin,2021-12-30T16:40:56Z
13,Qatchy,Qatchy,None,"",Qatchyy,2021-12-30T16:40:56Z
16,Qnizuka,Qnizuka,None,"","",2021-12-30T16:40:56Z
2,Qristola,Kristopher O'Keefe,None,Qristola,Qristola,2021-12-30T16:40:56Z
1,Quadios,Kieran Rose,None,quadios,kieranrose12,2021-12-30T16:40:56Z
13,Quicksilver SL,Sam Lam,None,"",Sam_Quicksilver,2021-12-30T16:40:56Z
25,Raiden5700,Sloany,None,Flazin,97FLAZIN,2021-12-30T16:40:56Z
26,Rambo ZV,Rambo ZV,None,"",RamboZV,2021-12-30T16:40:56Z
2,ramircz,Andrew Corrigan,Bing Chilling,"",Ramixez,2021-12-30T16:40:56Z
1,Rammyy,Abel Garcia,None,"",RammyyHimself,2021-12-30T16:40:56Z
31,Ratedw,Jakey,Divine Mind,rated______,Rated______,2021-12-30T16:40:56Z
24,Ravxger,Ravxger,None,"","",2021-12-30T16:40:56Z
27,Rayne 1g,Tim Tinkler,eUnited,rayne,SeattleRayne,2021-12-30T16:40:56Z
12,RealisedG,Jordan,None,"",RealisedG,2021-12-30T16:40:56Z
27,Renegade JW,Jonatha Willette,Cloud 9,renegadejw,Renegade_JW,2021-12-30T16:40:56Z
21,Requiem 5E,Dylan,None,"",Requiem_5E,2021-12-30T16:40:56Z
28,Respct,Brandon Stones,Natus Vincere,respectful,BrandonStones,2021-12-30T16:40:56Z
4,RNG Lunchbox,Jason Brown,None,lunchbox,lunchbox,2021-12-30T16:40:56Z
10,ROB THE TURTLE,Rob,None,"",RobTheTurtle_,2021-12-30T16:40:56Z
17,RoboticHaze,RoboticHaze,None,"","",2021-12-30T16:40:56Z
32,robs1n,Rob Singleton,The Boys,"",RobSeptiQ,2021-12-30T16:40:56Z
14,ROF Accipio Cx,ROF Accipio Cx,None,"","",2021-12-30T16:40:56Z
14,ROF FiR3zh0T v2,ROF FiR3zh0T v2,None,"","",2021-12-30T16:40:56Z
22,Rorzch,Rorzch,None,"","",2021-12-30T16:40:56Z
1,RoyaI 2,Mathew Fiorante,Sentinels,royal2,Royal2,2021-12-30T16:40:56Z
30,RP Common,Chris,Oxygen Esports,"",RPCommon,2021-12-30T16:40:56Z
12,RRRyno,Ryno Robbins,None,"",Ryno_RR,2021-12-30T16:40:56Z
24,RWGC,RWGC,None,"","",2021-12-30T16:40:56Z
27,RyaNoob Nerds,Ryan Geddes,eUnited,ryanoob,RyaNoobHCS,2021-12-30T16:40:56Z
8,Ryscu,Ryan,None,Ryscu,Ryscu_,2021-12-30T16:40:56Z
27,Sabinater,Sab,G2 Esports,Sabinater,Sabinater_,2021-12-30T16:40:56Z
25,Sanaiha1371,Sanaiha1371,None,"","",2021-12-30T16:40:56Z
15,Sanart cant aim,Sanart cant aim,None,"","",2021-12-30T16:40:56Z
31,Sandeii,Pontus Sandell,The Boys,"",SandellPontus,2021-12-30T16:40:56Z
25,Sargoth,Casey,None,Sargothcc,Sargothcc,2021-12-30T16:40:56Z
17,Savieer,Savieer,None,"","",2021-12-30T16:40:56Z
14,Scarcety,Scarcety,None,"","",2021-12-30T16:40:56Z
1,Scaryotic HCS,Jason,None,scaryotic,Scaryotic,2021-12-30T16:40:56Z
12,Sceptify,Sceptify,None,"",Sceptify,2021-12-30T16:40:56Z
24,Secludcd,Secludcd,None,"","",2021-12-30T16:40:56Z
0,Seduce,Daniel Franken,None,seduce,Seduce,2021-12-30T16:40:56Z
19,SenscR,SenscR,None,"","",2021-12-30T16:40:56Z
3,Severus Shooter,Ryan Sondhi,None,"",RyanSondhi,2021-12-30T16:40:56Z
30,Shaady,Shaady,Acend,"",Shaady__,2021-12-30T16:40:56Z
8,ShabbyIDagger,Shabby,None,shabbyidagger,ShabbyIDagger,2021-12-30T16:40:56Z
4,Shotzzy,Anthony Cuevas-Castro,None,Shotzzy,Shotzzy,2021-12-30T16:40:56Z
10,Shystie,Dave,None,"",vShystie,2021-12-30T16:40:56Z
30,Sicalkpote,Rere,Acend,"",Renan_Grll,2021-12-30T16:40:56Z
12,SickStoryBz,Jesus Shuttlesworth,None,s1ckst0ry,SickStory_,2021-12-30T16:40:56Z
12,SiickaThanYoAvg,Chris,None,siickathanyoavg,chriss_cnc,2021-12-30T16:40:56Z
8,SimpIay,Alexander,None,"",SimpIay,2021-12-30T16:40:56Z
21,Simply Fear Me,Simply Fear Me,None,"","",2021-12-30T16:40:56Z
16,Sinistrale,Sinistrale,None,"",Sinistraal,2021-12-30T16:40:56Z
31,Slayz bb,Angus Hodic,Divine Mind,"",Slayz____,2021-12-30T16:40:56Z
30,slgslg31,Norwen LG,Quadrant,Slg_,Sy_SLG,2021-12-30T16:40:56Z
13,Sljnky,Slinky,None,"","",2021-12-30T16:40:56Z
14,Slubbix,Slubbix,None,"","",2021-12-30T16:40:56Z
10,Slumpy JMK,Slumpy,None,"",Slumpy_EU,2021-12-30T16:40:56Z
0,SnakeBiteFPS,Paul Duarte,Sentinels,snakebite,SnakeBiteFPS,2021-12-30T16:40:56Z
8,Sneaky Bran,Bran,None,Sneaky_Bran,Sneaky_Bran,2021-12-30T16:40:56Z
31,Snipaul6041,Paul,The Boys,"",SnipauI,2021-12-30T16:40:56Z
2,Snipedown4965,Eric Wrona,FaZe Clan,snip3down,Snip3down,2021-12-30T16:40:56Z
3,SNlPEDRONE,Mike Juchau,Acend,Snipedrone,Snipedrone,2021-12-30T16:40:56Z
16,Snriz,Snriz,None,"","",2021-12-30T16:40:56Z
22,Socksyy Boii,Alex W,None,"",LetsImprove1,2021-12-30T16:40:56Z
12,Sorrel1,Sorrell,None,"",5orrell,2021-12-30T16:40:56Z
27,Sparty McFIy,Tyler Ganza,eUnited,SpartanTheDogg,Spartan,2021-12-30T16:40:56Z
15,Spxrkyyy,Spxrkyyy,None,"","",2021-12-30T16:40:56Z
10,SQU4RE,Jack,None,"",SquareBC4L,2021-12-30T16:40:56Z
10,Squallaye,Squallaye,None,"","",2021-12-30T16:40:56Z
25,SSaintly,Brady Boswell,None,ssaintly,SaintBoswell,2021-12-30T16:40:56Z
27,SStelluR,Braedon Boettcher,Cloud 9,SStelluR,TheStelluR,2021-12-30T16:40:56Z
27,Str8 SicK CS,Cory Sloss,G2 Esports,"",Str8SicK,2021-12-30T16:40:56Z
15,Stracticc,Stracticc,None,"","",2021-12-30T16:40:56Z
14,Strally EU,Strally EU,None,"","",2021-12-30T16:40:56Z
18,Stresss,Stresss,None,"","",2021-12-30T16:40:56Z
29,SuperCC Evades,CC,KC Pioneers,SuperCC_Evades,SuperCC_Evades,2021-12-30T16:40:56Z
20,Suppressecl,Suppressecl,None,"","",2021-12-30T16:40:56Z
30,Svspector,Ayden Hill,XSET,Suspectors,Svspector,2021-12-30T16:40:56Z
16,sX iSuperior,sX iSuperior,None,"","",2021-12-30T16:40:56Z
21,Syxnrgy,Tyler Smith,None,"",syxnrgy,2021-12-30T16:40:56Z
13,T2P Swish,Kyle,Oxygen Esports,"",NotCLGSwiSH,2021-12-30T16:40:56Z
7,TaLic,Shannon,None,TaLicHD,TaLiiic,2021-12-30T16:40:56Z
28,Tapping Buttons,Josbe Valadez,Pittsburgh Knights,"",JJosbe,2021-12-30T16:40:56Z
29,Taulek,Taulek,KC Pioneers,Taulek,Taulek_,2021-12-30T16:40:56Z
30,TchiK SD,Sebastien Darriet,Quadrant,tchikk,TchiKHCS,2021-12-30T16:40:56Z
22,Tenjin4460,Tenjin,None,"","",2021-12-30T16:40:56Z
27,The Eco Smith,Kevin Smith,Cloud 9,ecofps,KevinEcoSmith,2021-12-30T16:40:56Z
20,the gold sTarBR,the gold sTarBR,None,"","",2021-12-30T16:40:56Z
4,thee RoyBorg,Justin Brown,None,roy,theRoyBorg,2021-12-30T16:40:56Z
21,Thin,Thin,None,"","",2021-12-30T16:40:56Z
20,Thrrone,Thrrone,None,"","",2021-12-30T16:40:56Z
15,Thuruuu,Thuruuu,None,"",Thuruuu,2021-12-30T16:40:56Z
16,Tommi theKrogan,Tommi theKrogan,None,"","",2021-12-30T16:40:56Z
28,TriPPPeY,Joe Taylor,OpTic Gaming,TriPPPeY,TriPPPeY,2021-12-30T16:40:56Z
0,Tritn,James Bolling,None,"",Triton_JB,2021-12-30T16:40:56Z
19,TRlTN,TritoN ARG,None,"",TRlTN,2021-12-30T16:40:56Z
19,Tryant,Tryant,None,"","",2021-12-30T16:40:56Z
28,tuf0xy,Perry Kenyon,Natus Vincere,"",tuf0xy,2021-12-30T16:40:56Z
29,Tylenul,Alec,Spacestation Gaming,Tylenul,Tylenul,2021-12-30T16:40:56Z
15,UCSxGunfusion,UCSxGunfusion,None,"","",2021-12-30T16:40:56Z
20,uegjragn,uegjragn,None,"","",2021-12-30T16:40:56Z
11,UI CritiGod,UI CritiGod,None,"","",2021-12-30T16:40:56Z
11,UI Dualitat,UI Dualitat,None,"","",2021-12-30T16:40:56Z
9,US fafy,US fafy,None,"","",2021-12-30T16:40:56Z
9,US NoProAngel,US NoProAngel,None,"","",2021-12-30T16:40:56Z
9,US Shenarjor,US Shenarjor,None,"","",2021-12-30T16:40:56Z
9,US Tolkien HCS,US Tolkien HCS,None,"","",2021-12-30T16:40:56Z
9,v t3ct9,Nicola Rios,None,"",bS_vtec,2021-12-30T16:40:56Z
18,v4v Vulcan,v4v Vulcan,None,"","",2021-12-30T16:40:56Z
9,Valkyrie HCS,Cory Harmon,None,"",Valkyrie_HCS,2021-12-30T16:40:56Z
10,Vampted,Keegan Phelps,None,"",Vampt_,2021-12-30T16:40:56Z
18,vBlite,vBlite,None,"","",2021-12-30T16:40:56Z
13,Vetra,Vetra,None,"",Vetra_CL,2021-12-30T16:40:56Z
0,VexZeus,Conor Scally,None,vexzeus,VexZeus,2021-12-30T16:40:56Z
17,Viable Manatee,Viable Manatee,None,"","",2021-12-30T16:40:56Z
15,VIAMMI 45,VIAMMI 45,None,"","",2021-12-30T16:40:56Z
2,WANwerd,Bry,None,"",WANwerd_,2021-12-30T16:40:56Z
16,white ste 93,white ste 93,None,"","",2021-12-30T16:40:56Z
1,Who is KingNick,Nick,eUnited,kingnick__,KingNickNP,2021-12-30T16:40:56Z
18,Will Mannon,Will Mannon,None,"","",2021-12-30T16:40:56Z
25,WinterLand94646,WinterLand94646,None,"","",2021-12-30T16:40:56Z
10,WoGG HCS,Matt,None,"",WoGGHCS,2021-12-30T16:40:56Z
25,Wombat SH,Scott Higgins,None,WombatSH,Wombat_SH,2021-12-30T16:40:56Z
25,World Famous,Dane,None,"",Halo3WF,2021-12-30T16:40:56Z
13,WVS Censuree UK,James,None,"",Censuree_,2021-12-30T16:40:56Z
13,WVS DeZireTB UK,Dylan,None,"",DeZireTB,2021-12-30T16:40:56Z
14,X3rThoS,X3rThoS,None,"",X3rThoS,2021-12-30T16:40:56Z
13,Xrossfade,Xrossfade,None,"","",2021-12-30T16:40:56Z
21,XxCurlySniperxX,Adam Jackson,None,"",Adam_W_Jackson,2021-12-30T16:40:56Z
15,YapaDleZ 31,YapaDleZ 31,None,"","",2021-12-30T16:40:56Z
12,Zeldun,PG Zeldun,None,"","",2021-12-30T16:40:56Z
2,Zhuh,Zhuh,None,"",Zhuhlol,2021-12-30T16:40:56Z
18,Zoack,Zoack,None,"","",2021-12-30T16:40:56Z
28,ZOla x HunterZ,Justin Deese,OpTic Gaming,igoturpistola,iGotUrPistola,2021-12-30T16:40:56Z
22,zZarck,zZarck,None,"","",2021-12-30T16:40:56Z
